id,genres
334028,Horror
354924,Thriller
354924,Horror
368256,Horror
324291,Comedy
324291,Drama
347847,Horror
347847,Science Fiction
295490,Drama
253406,Drama
253406,Comedy
253406,Music
291865,Horror
334531,Drama
324803,Thriller
339355,Comedy
309304,Comedy
309304,Drama
339342,Horror
306966,Horror
226458,Horror
226458,Thriller
339148,Comedy
339148,Romance
340684,Drama
340684,Romance
340968,Drama
340968,Crime
340968,History
347754,Thriller
347754,Horror
326284,Action
317144,Thriller
317144,Drama
277558,Thriller
277558,Drama
277558,Action
338928,Documentary
291189,Comedy
291189,Drama
291189,Romance
291189,Mystery
309425,Drama
309425,Fantasy
287689,Comedy
287689,TV Movie
325189,Music
325189,Comedy
298582,Family
298582,Drama
298582,History
301228,Science Fiction
301228,Mystery
301228,Thriller
343934,Comedy
296025,Drama
371442,Comedy
325173,Action
325173,Crime
282313,Thriller
282313,Drama
282313,Science Fiction
300542,Thriller
300542,Mystery
300542,Drama
309924,Comedy
348634,Romance
348634,TV Movie
348634,Comedy
318044,Music
318044,Documentary
259958,Drama
316715,Drama
308027,Comedy
279144,Documentary
355020,Documentary
323665,Horror
323665,Thriller
323665,Mystery
323665,Science Fiction
358895,Romance
358895,Drama
347548,Science Fiction
347548,Horror
347548,Thriller
353345,Horror
323370,Thriller
323370,Science Fiction
323370,Horror
337958,Romance
337958,Drama
337958,Comedy
333674,Horror
333674,Thriller
333674,Drama
301728,Thriller
301728,Science Fiction
301728,Horror
366018,TV Movie
366018,Music
366018,Romance
366018,Comedy
256030,Horror
356149,Horror
300666,Music
300666,Drama
347642,Horror
373558,Music
373558,Documentary
367326,Animation
367326,Comedy
367326,Science Fiction
367326,Family
329205,Horror
329205,Thriller
386501,Comedy
386501,Drama
321769,Documentary
251471,Documentary
174340,Documentary
309298,Comedy
285840,Comedy
285840,Horror
285840,Mystery
308077,Drama
321109,Documentary
341886,Horror
341886,Science Fiction
308024,Comedy
308024,Mystery
356216,Crime
311615,Adventure
311615,Action
311615,Comedy
333873,Documentary
362154,Crime
362154,Thriller
293941,Thriller
293941,Science Fiction
293941,Drama
360203,Drama
360203,Crime
360203,Action
360203,Thriller
294132,Comedy
301629,Comedy
331592,Science Fiction
331592,Thriller
331592,Drama
342464,Family
342464,Drama
332976,Adventure
332976,Action
332976,Thriller
332976,Crime
367551,Science Fiction
367551,Comedy
367551,Action
353610,Action
316410,Drama
316410,Thriller
106845,Science Fiction
106845,Horror
339362,Romance
339362,Comedy
339362,Action
323966,Action
323966,Crime
354857,Animation
354857,TV Movie
354857,Comedy
354857,Science Fiction
333653,Drama
333653,TV Movie
323366,Mystery
323366,Horror
323366,Thriller
75861,Music
75861,Drama
283698,Drama
363889,Horror
363889,Comedy
329020,Mystery
329020,Animation
329020,Horror
323272,Drama
343921,Thriller
343921,Drama
361671,Drama
346494,Drama
346494,Comedy
321974,Music
321974,Documentary
363757,Comedy
363757,Romance
328820,Thriller
359255,Horror
359255,Thriller
355178,Comedy
310491,Drama
319096,Music
319096,Drama
319096,Romance
285024,Drama
360341,Documentary
360341,Music
329556,Drama
329556,Crime
329556,Action
329556,Thriller
241927,Horror
347751,Horror
347751,Drama
287692,Horror
321668,Horror
321668,Science Fiction
315024,Science Fiction
315024,Action
323674,Drama
323674,Romance
345944,Documentary
300686,Drama
324253,Documentary
395560,Thriller
395560,History
395560,Drama
395560,Science Fiction
312827,Documentary
312827,Horror
308084,Drama
308084,Comedy
268725,Horror
268725,Thriller
308361,Thriller
308361,Drama
327029,Science Fiction
327029,Adventure
327029,Action
249916,Drama
249916,Comedy
249916,Romance
331161,Comedy
331161,Drama
339065,Documentary
244563,Drama
360605,Comedy
360605,Adventure
360605,Fantasy
315855,Drama
315855,Comedy
315855,Romance
315855,Mystery
319152,Documentary
369058,TV Movie
369058,Romance
347762,Horror
325113,Drama
336167,Thriller
336167,Horror
336167,Mystery
320996,Comedy
312797,Thriller
312804,Drama
339751,Documentary
333350,Documentary
351043,Drama
351043,Mystery
351043,Thriller
351043,Horror
224972,Documentary
295595,Documentary
295595,Drama
295595,Music
295595,Crime
371758,Drama
371758,Mystery
317981,Horror
317981,Comedy
309889,Thriller
309889,Horror
333103,Comedy
263105,Comedy
263105,Romance
263105,Drama
319076,Documentary
309063,Horror
278247,Drama
355131,Science Fiction
355131,Documentary
332839,Drama
332839,Thriller
367215,Documentary
367215,Thriller
261860,Documentary
362434,Horror
371759,Comedy
371759,Science Fiction
371759,Drama
316761,Documentary
341077,Action
341077,Drama
341077,Thriller
341077,Crime
321160,Romance
321160,Comedy
330037,Drama
330037,Action
330037,Family
347944,Horror
373977,Science Fiction
373977,TV Movie
373977,Thriller
373977,Drama
279972,Horror
279972,Mystery
279972,Thriller
279972,Fantasy
306952,Romance
306952,Drama
306952,Comedy
339060,History
339060,Thriller
339060,Drama
339060,Mystery
339060,Family
362439,Horror
355600,Documentary
355600,Music
346170,Thriller
346170,Horror
308447,Family
308447,Comedy
308447,Animation
348035,Comedy
298032,Action
298032,Thriller
298032,Crime
298032,Horror
371833,Horror
371833,Drama
295886,Drama
300654,Drama
300654,Adventure
300654,Thriller
365717,Comedy
321594,Comedy
307931,Documentary
340247,Drama
340247,Action
326665,Comedy
332706,Drama
333377,Documentary
275696,Drama
326247,Horror
326247,Drama
333287,Comedy
333287,Romance
318973,Documentary
318973,Crime
318973,Thriller
273899,Drama
321039,Science Fiction
321039,Thriller
321039,Horror
345468,Thriller
345468,Horror
345468,Drama
269033,Drama
269033,Comedy
319091,Documentary
323435,Fantasy
323435,Drama
323435,Thriller
318225,Documentary
363480,TV Movie
363480,Drama
291290,Drama
291290,Thriller
352552,Documentary
343981,Documentary
366929,Documentary
366929,War
366929,Romance
366929,Drama
341051,Horror
319067,History
319067,Documentary
332177,Action
254800,Drama
254800,Music
291151,Horror
291151,Thriller
291151,Drama
291151,Mystery
332479,Animation
332479,Action
332479,Science Fiction
299780,Comedy
299780,Drama
348296,Comedy
357974,Comedy
347258,Science Fiction
347258,Thriller
312793,Comedy
312793,Science Fiction
340361,Comedy
306943,Comedy
324325,Documentary
324325,Family
321640,Documentary
309919,Horror
309919,Mystery
309919,Thriller
309919,Drama
303867,Science Fiction
303867,Comedy
303867,Animation
325365,Documentary
330916,Drama
273599,Thriller
273599,Drama
333620,Thriller
325843,Comedy
325843,Drama
253303,Drama
253303,Comedy
253303,Horror
356846,TV Movie
356846,Drama
331501,Horror
331501,Mystery
331501,Science Fiction
331501,Thriller
329289,Horror
334682,Documentary
356335,Documentary
339928,Family
339928,Drama
339928,Comedy
367735,Comedy
266764,Documentary
328346,Documentary
333346,Documentary
157336,Science Fiction
157336,Drama
157336,Adventure
118340,Adventure
118340,Science Fiction
118340,Action
100402,Science Fiction
100402,Adventure
100402,Action
245891,Thriller
245891,Action
131631,Thriller
131631,Adventure
131631,Science Fiction
122917,Fantasy
122917,Adventure
177572,Animation
177572,Comedy
177572,Family
177572,Adventure
177572,Action
205596,Thriller
205596,Drama
205596,History
205596,War
198663,Science Fiction
198663,Mystery
198663,Action
198663,Thriller
194662,Comedy
194662,Drama
210577,Drama
210577,Thriller
210577,Mystery
228150,Action
228150,Drama
228150,War
181533,Fantasy
181533,Comedy
181533,Adventure
181533,Family
157350,Thriller
157350,Science Fiction
157350,Action
127585,Fantasy
127585,Adventure
127585,Action
127585,Science Fiction
240832,Science Fiction
240832,Action
98566,Adventure
98566,Comedy
98566,Action
98566,Science Fiction
98566,Fantasy
225886,Comedy
242582,Thriller
242582,Drama
242582,Crime
91314,Adventure
91314,Action
91314,Science Fiction
120467,Drama
120467,Comedy
244786,Music
244786,Drama
119450,Drama
119450,Action
119450,Science Fiction
119450,Thriller
156022,Crime
156022,Action
156022,Thriller
227159,Comedy
102382,Fantasy
102382,Adventure
102382,Action
137113,Science Fiction
137113,Action
228967,Comedy
228967,Action
190859,Action
190859,War
147441,Action
147441,Drama
147441,Adventure
124905,Thriller
124905,Science Fiction
124905,Action
102651,Action
102651,Romance
102651,Adventure
102651,Fantasy
102651,Family
254904,Thriller
254904,Action
254904,Crime
242512,Horror
82702,Adventure
82702,Comedy
82702,Action
82702,Fantasy
82702,Animation
270303,Horror
270303,Thriller
138103,Thriller
138103,Adventure
138103,Action
137106,Animation
137106,Action
137106,Fantasy
137106,Adventure
137106,Comedy
72784,Thriller
68737,Fantasy
68737,Adventure
266856,Romance
266856,Drama
193893,Comedy
49017,Drama
49017,War
49017,Action
49017,Horror
49017,Fantasy
270946,Adventure
270946,Animation
270946,Family
270946,Comedy
224141,Music
224141,Comedy
224141,Fantasy
53182,War
53182,Action
227156,Science Fiction
227156,Drama
187017,Action
187017,Comedy
187017,Crime
169917,Mystery
169917,Drama
169917,Crime
169917,Thriller
116149,Comedy
284276,Drama
212778,Comedy
238636,Thriller
238636,Horror
218043,Science Fiction
218043,Action
218043,Thriller
85350,Drama
241239,Crime
241239,Thriller
241239,Action
241239,Drama
184315,Adventure
184315,Action
86834,Adventure
86834,Drama
205587,Drama
256092,Crime
256092,Comedy
256092,Action
232672,Comedy
195589,Comedy
249164,Drama
243683,Music
243683,Drama
243683,Romance
200727,Romance
200727,Comedy
222935,Drama
222935,Romance
244267,Drama
244267,Science Fiction
168530,Comedy
168530,Action
244761,Thriller
171274,Crime
171274,Mystery
171274,Romance
171274,Comedy
171274,Drama
137094,Thriller
137094,Drama
137094,Action
225574,Mystery
225574,Thriller
225574,Action
206487,Thriller
206487,Science Fiction
262543,Science Fiction
262543,Thriller
321068,Fantasy
321068,Adventure
321068,Action
154400,Crime
154400,Drama
97020,Action
97020,Science Fiction
157353,Drama
157353,Science Fiction
157353,Thriller
157353,Mystery
193610,Romance
193610,Comedy
82703,Family
82703,Adventure
82703,Animation
286532,Comedy
189,Thriller
189,Crime
297270,Family
297270,Animation
297270,Adventure
172385,Comedy
172385,Adventure
172385,Animation
172385,Family
100042,Comedy
204922,Thriller
204922,Mystery
152760,History
152760,Drama
152760,War
152760,Action
227306,War
227306,Drama
273895,Drama
273895,History
265177,Drama
255343,Romance
255343,Thriller
175112,Family
175112,Animation
228970,Drama
76649,History
76649,Drama
76649,Adventure
76649,Action
76649,Romance
239571,Romance
239571,Drama
196867,Drama
196867,Comedy
196867,Music
196867,Family
207933,Thriller
207933,Horror
228326,Adventure
228326,Family
228326,Animation
228326,Romance
228326,Comedy
239563,Comedy
136797,Drama
136797,Crime
136797,Action
136797,Thriller
286554,Comedy
286554,Romance
262338,Action
262338,Crime
262338,Thriller
228194,Drama
170687,Family
170687,Comedy
170687,Animation
170687,Fantasy
87093,Drama
241254,Action
241254,Thriller
246080,Adventure
110416,Fantasy
110416,Animation
110416,Family
253980,Drama
253980,Fantasy
253980,Action
253980,Comedy
253980,Thriller
242095,Science Fiction
242095,Thriller
157825,Drama
157825,Thriller
216282,Thriller
216282,Action
289720,Action
192102,Thriller
192102,Drama
192102,Action
192102,Crime
218836,Adventure
218836,Comedy
218836,Animation
218836,Family
252178,Drama
252178,Action
252178,Thriller
252178,War
144336,Thriller
144336,Drama
144336,Action
144336,Crime
188161,Western
188161,Comedy
255157,Drama
255157,Crime
255157,Thriller
171372,Mystery
171372,Drama
171372,Comedy
244506,Drama
136835,Thriller
284293,Drama
256274,Thriller
256274,Horror
87492,Thriller
87492,Drama
277547,Romance
277547,Comedy
226857,Romance
226857,Drama
157845,Drama
157845,Crime
184098,Romance
184098,Comedy
271674,War
271674,Romance
271674,Drama
192149,Thriller
187596,Comedy
181886,Mystery
181886,Thriller
250546,Horror
328763,Thriller
328763,Horror
328763,Drama
261103,Animation
261103,Family
100241,Thriller
100241,Horror
225565,Romance
225565,Comedy
192132,Drama
200505,Drama
254473,Drama
254473,Crime
254473,Action
242224,Horror
242224,Thriller
242224,Drama
226486,Comedy
286519,Drama
164251,Drama
284689,War
284689,Drama
284689,History
250066,Action
169298,Thriller
169298,Crime
169298,Action
244772,Drama
260339,Action
260339,Drama
260339,Mystery
260339,Crime
283384,Thriller
137321,Mystery
137321,Fantasy
137321,Drama
137321,Romance
234200,Comedy
234200,Drama
244264,Comedy
244264,Romance
241848,Action
241848,Thriller
241848,Mystery
259611,Drama
259611,Western
238215,Drama
238215,Comedy
238215,Fantasy
188166,Thriller
188166,Crime
253344,Comedy
256917,Drama
256917,War
171424,Thriller
171424,Horror
229297,Romance
229297,Drama
229297,Comedy
192712,Action
192712,Drama
218778,Comedy
218778,Family
239678,Comedy
239678,Drama
264656,Drama
264656,Western
294652,Drama
294652,Crime
294652,Action
294652,Thriller
244509,Thriller
244509,Drama
146015,Drama
146015,Thriller
227783,Family
227783,Comedy
227783,Animation
227783,Adventure
327833,Drama
327833,Action
327833,Thriller
151368,Crime
151368,Action
151368,Thriller
230179,Adventure
230179,Action
242076,Thriller
242076,Drama
242076,Crime
209451,Drama
209451,Music
222899,Romance
222899,Comedy
198185,Drama
231576,Comedy
231576,Drama
244539,Drama
244539,Comedy
240745,Drama
287587,Comedy
287587,Drama
285135,TV Movie
285135,Science Fiction
283350,Comedy
283350,Romance
283350,Drama
97370,Drama
97370,Science Fiction
97370,Thriller
177494,Crime
177494,Drama
177494,Comedy
254375,Comedy
254375,Drama
254375,Adventure
235260,Drama
250657,Documentary
242643,Action
242643,Animation
242643,Thriller
242643,Crime
242042,Romance
242042,Drama
242042,Comedy
217993,Animation
157834,Science Fiction
157834,Fantasy
157834,Drama
253306,Thriller
253306,Comedy
253306,Horror
288281,Thriller
232679,Drama
260202,Action
260202,Drama
260202,Thriller
260202,Mystery
256835,Family
256835,Animation
293299,Animation
293299,Family
293299,Comedy
293299,Romance
293299,Drama
289891,Drama
270302,Thriller
270302,Drama
251852,Thriller
215211,Drama
215211,Romance
177047,Drama
276844,Romance
276844,Comedy
276844,Drama
226448,Science Fiction
226448,Romance
226448,Drama
255268,Action
201086,Comedy
297596,Drama
297596,Thriller
193612,Horror
